gene_name,uniprot,hgnc_symbol,ensembl
C3,P01024,C3,ENSG00000125730
C3AR1,Q16581,C3AR1,ENSG00000171860
C4A,P0C0L4,C4A,ENSG00000227746
C4A,P0C0L4,C4A,ENSG00000244731
C4A,P0C0L4,C4A,ENSG00000206340
C4A,P0C0L4,C4A,ENSG00000244207
C5,P01031,C5,ENSG00000106804
C5AR1,P21730,C5AR1,ENSG00000197405
C5AR2,Q9P296,C5AR2,ENSG00000134830
CADM1,Q9BY67,CADM1,ENSG00000182985
CADM3,Q8N126,CADM3,ENSG00000162706
CADM4,Q8NFZ8,CADM4,ENSG00000105767
CALCA,P01258,CALCA,ENSG00000110680
CALCB,P10092,CALCB,ENSG00000175868
CALCR,P30988,CALCR,ENSG00000004948
CALCRL,Q16602,CALCRL,ENSG00000064989
CAMP,P49913,CAMP,ENSG00000164047
CATSPER1,Q8NEC5,CATSPER1,ENSG00000175294
CATSPER2,Q96P56,CATSPER2,ENSG00000166762
CATSPER3,Q86XQ3,CATSPER3,ENSG00000152705
CATSPER4,Q7RTX7,CATSPER4,ENSG00000188782
CATSPERB,Q9H7T0,CATSPERB,ENSG00000133962
CATSPERB,Q9H7T0,CATSPERB,ENSG00000274338
CATSPERD,Q86XM0,CATSPERD,ENSG00000174898
CBR1,P16152,CBR1,ENSG00000159228
CCK,P06307,CCK,ENSG00000187094
CCKAR,P32238,CCKAR,ENSG00000163394
CCKBR,P32239,CCKBR,ENSG00000110148
CCL1,P22362,CCL1,ENSG00000108702
CCL11,P51671,CCL11,ENSG00000172156
CCL13,Q99616,CCL13,ENSG00000181374
CCL14,Q16627,CCL14,ENSG00000277236
CCL14,Q16627,CCL14,ENSG00000276409
CCL15,Q16663,CCL15,ENSG00000275528
CCL15,Q16663,CCL15,ENSG00000275718
CCL16,O15467,CCL16,ENSG00000275152
CCL16,O15467,CCL16,ENSG00000275095
CCL17,Q92583,CCL17,ENSG00000102970
CCL18,P55774,CCL18,ENSG00000275385
CCL18,P55774,CCL18,ENSG00000278006
CCL18,P55774,CCL18,ENSG00000278167
CCL19,Q99731,CCL19,ENSG00000172724
CCL2,P13500,CCL2,ENSG00000108691
CCL20,P78556,CCL20,ENSG00000115009
CCL21,O00585,CCL21,ENSG00000137077
CCL22,O00626,CCL22,ENSG00000102962
CCL23,P55773,CCL23,ENSG00000274736
CCL23,P55773,CCL23,ENSG00000276114
CCL24,O00175,CCL24,ENSG00000106178
CCL25,O15444,CCL25,ENSG00000131142
CCL26,Q9Y258,CCL26,ENSG00000006606
CCL27,Q9Y4X3,CCL27,ENSG00000213927
CCL28,Q9NRJ3,CCL28,ENSG00000151882
CCL3,P10147,CCL3,ENSG00000277632
CCL3,P10147,CCL3,ENSG00000278567
CCL3,P10147,CCL3,ENSG00000274221
CCL3L1,P16619,CCL3L1,ENSG00000276085
CCL3L1,CCL3L1,CCL3L1,ENSG00000276085
CCL3L3,P16619,CCL3L3,ENSG00000277796
CCL3L3,P16619,CCL3L3,ENSG00000277768
CCL3L3,P16619,CCL3L3,ENSG00000277336
CCL4,P13236,CCL4,ENSG00000275824
CCL4,P13236,CCL4,ENSG00000277943
CCL4,P13236,CCL4,ENSG00000275302
CCL4L2,Q8NHW4,CCL4L2,ENSG00000275313
CCL4L2,Q8NHW4,CCL4L2,ENSG00000276070
CCL5,P13501,CCL5,ENSG00000271503
CCL5,P13501,CCL5,ENSG00000274233
CCL7,P80098,CCL7,ENSG00000108688
CCL8,P80075,CCL8,ENSG00000108700
CCR1,P32246,CCR1,ENSG00000163823
CCR10,P46092,CCR10,ENSG00000184451
CCR2,P41597,CCR2,ENSG00000121807
CCR3,P51677,CCR3,ENSG00000183625
CCR4,P51679,CCR4,ENSG00000183813
CCR5,P51681,CCR5,ENSG00000160791
CCR6,P51684,CCR6,ENSG00000112486
CCR7,P32248,CCR7,ENSG00000126353
CCR8,P51685,CCR8,ENSG00000179934
CCR9,P51686,CCR9,ENSG00000173585
CCRL2,O00421,CCRL2,ENSG00000121797
CD160,O95971,CD160,ENSG00000117281
CD177,Q8N6Q3,CD177,ENSG00000204936
CD1D,P15813,CD1D,ENSG00000158473
CD2,P06729,CD2,ENSG00000116824
CD200,P41217,CD200,ENSG00000091972
CD200R1,Q8TD46,CD200R1,ENSG00000163606
CD209,Q9NNX6,CD209,ENSG00000090659
CD22,P20273,CD22,ENSG00000012124
CD226,Q15762,CD226,ENSG00000150637
CD24,P25063,CD24,ENSG00000272398
CD244,Q9BZW8,CD244,ENSG00000122223
CD27,P26842,CD27,ENSG00000139193
CD274,Q9NZQ7,CD274,ENSG00000120217
CD276,Q5ZPR3,CD276,ENSG00000103855
CD28,P10747,CD28,ENSG00000178562
CD34,P28906,CD34,ENSG00000174059
CD36,P16671,CD36,ENSG00000135218
CD38,P28907,CD38,ENSG00000004468
CD40,P25942,CD40,ENSG00000101017
CD40LG,P29965,CD40LG,ENSG00000102245
CD44,P16070,CD44,ENSG00000026508
CD46,P15529,CD46,ENSG00000117335
CD47,Q08722,CD47,ENSG00000196776
CD48,P09326,CD48,ENSG00000117091
CD52,P31358,CD52,ENSG00000169442
CD55,P08174,CD55,ENSG00000196352
CD58,P19256,CD58,ENSG00000116815
CD6,P30203,CD6,ENSG00000013725
CD70,P32970,CD70,ENSG00000125726
CD72,P21854,CD72,ENSG00000137101
CD74,P04233,CD74,ENSG00000019582
CD80,P33681,CD80,ENSG00000121594
CD83,Q01151,CD83,ENSG00000112149
CD86,P42081,CD86,ENSG00000114013
CD8A,P01732,CD8A,ENSG00000153563
CD8B,P10966,CD8B,ENSG00000172116
CD96,P40200,CD96,ENSG00000153283
CD99,P14209,CD99,ENSG00000002586
CDH1,P12830,CDH1,ENSG00000039068
CDH2,P19022,CDH2,ENSG00000170558
CDH3,P22223,CDH3,ENSG00000062038
CDH5,P33151,CDH5,ENSG00000179776
CDH6,P55285,CDH6,ENSG00000113361
CDH7,Q9ULB5,CDH7,ENSG00000081138
CDON,Q4KMG0,CDON,ENSG00000064309
CEACAM1,P13688,CEACAM1,ENSG00000079385
CEACAM5,P06731,CEACAM5,ENSG00000105388
CEACAM6,P40199,CEACAM6,ENSG00000086548
CEACAM8,P31997,CEACAM8,ENSG00000124469
CEL,P19835,CEL,ENSG00000170835
CELSR2,Q9HCU4,CELSR2,ENSG00000143126
CELSR3,Q9NYQ7,CELSR3,ENSG00000008300
CER1,O95813,CER1,ENSG00000147869
CFC1,P0CG37,CFC1,ENSG00000136698
CGA,P01215,CGA,ENSG00000135346
CHAT,P28329,CHAT,ENSG00000070748
CHRM1,P11229,CHRM1,ENSG00000168539
CHRM2,P08172,CHRM2,ENSG00000181072
CHRM3,P20309,CHRM3,ENSG00000133019
CHRM4,P08173,CHRM4,ENSG00000180720
CHRM5,P08912,CHRM5,ENSG00000184984
CHRNA1,P02708,CHRNA1,ENSG00000138435
CHRNA2,Q15822,CHRNA2,ENSG00000120903
CHRNA3,P32297,CHRNA3,ENSG00000080644
CHRNA4,P43681,CHRNA4,ENSG00000101204
CHRNA5,P30532,CHRNA5,ENSG00000169684
CHRNA6,Q15825,CHRNA6,ENSG00000147434
CHRNA7,P36544,CHRNA7,ENSG00000175344
CHRNB2,P17787,CHRNB2,ENSG00000160716
CHRNB3,Q05901,CHRNB3,ENSG00000147432
CHRNB4,P30926,CHRNB4,ENSG00000117971
CLCF1,Q9UBD9,CLCF1,ENSG00000175505
CLEC2A,Q6UVW9,CLEC2A,ENSG00000188393
CLEC2B,Q92478,CLEC2B,ENSG00000110852
CLEC2D,Q9UHP7,CLEC2D,ENSG00000069493
CLEC4M,Q9H2X3,CLEC4M,ENSG00000104938
CLU,P10909,CLU,ENSG00000120885
CMKLR1,Q99788,CMKLR1,ENSG00000174600
CNR1,P21554,CNR1,ENSG00000118432
CNR2,P34972,CNR2,ENSG00000188822
CNTF,P26441,CNTF,ENSG00000242689
CNTFR,P26992,CNTFR,ENSG00000122756
CNTN1,Q12860,CNTN1,ENSG00000018236
COL10A1,Q03692,COL10A1,ENSG00000123500
COL11A1,P12107,COL11A1,ENSG00000060718
COL11A2,P13942,COL11A2,ENSG00000227801
COL11A2,P13942,COL11A2,ENSG00000204248
COL11A2,P13942,COL11A2,ENSG00000232541
COL11A2,P13942,COL11A2,ENSG00000230930
